Factor,feature,Portion,Design,n_simulation,N
X1,X1,0.05503700560374075,Definitive Screening Design,801,17
X2,X2,0.5970003632277363,Definitive Screening Design,801,17
X3 (non-informative),X3,0.12712733690115507,Definitive Screening Design,801,17
Random Normal,Random Normal,0.22083529426736773,Definitive Screening Design,801,17
X1,X1,0.055632411911199935,Definitive Screening Design,802,17
X2,X2,0.6645516230975459,Definitive Screening Design,802,17
X3 (non-informative),X3,0.08556304117560115,Definitive Screening Design,802,17
Random Normal,Random Normal,0.19425292381565282,Definitive Screening Design,802,17
X1,X1,0.07108516153619682,Definitive Screening Design,803,17
X2,X2,0.6960211433781093,Definitive Screening Design,803,17
X3 (non-informative),X3,0.15959459381647875,Definitive Screening Design,803,17
Random Normal,Random Normal,0.07329910126921528,Definitive Screening Design,803,17
X1,X1,0.06758319920084174,Definitive Screening Design,804,17
X2,X2,0.6573733843437481,Definitive Screening Design,804,17
X3 (non-informative),X3,0.1525998244672837,Definitive Screening Design,804,17
Random Normal,Random Normal,0.12244359198812636,Definitive Screening Design,804,17
X1,X1,0.0716625502078569,Definitive Screening Design,805,17
X2,X2,0.6928572081153334,Definitive Screening Design,805,17
X3 (non-informative),X3,0.09471550905631204,Definitive Screening Design,805,17
Random Normal,Random Normal,0.14076473262049768,Definitive Screening Design,805,17
X1,X1,0.059638019636770595,Definitive Screening Design,806,17
X2,X2,0.6527546785393099,Definitive Screening Design,806,17
X3 (non-informative),X3,0.10675592461302524,Definitive Screening Design,806,17
Random Normal,Random Normal,0.1808513772108943,Definitive Screening Design,806,17
X1,X1,0.0712809071944313,Definitive Screening Design,807,17
X2,X2,0.6489061764938561,Definitive Screening Design,807,17
X3 (non-informative),X3,0.10288706870231733,Definitive Screening Design,807,17
Random Normal,Random Normal,0.17692584760939525,Definitive Screening Design,807,17
X1,X1,0.04703392656287821,Definitive Screening Design,808,17
X2,X2,0.6377162336355732,Definitive Screening Design,808,17
X3 (non-informative),X3,0.09532708239018904,Definitive Screening Design,808,17
Random Normal,Random Normal,0.21992275741135972,Definitive Screening Design,808,17
X1,X1,0.07442659801907957,Definitive Screening Design,809,17
X2,X2,0.5753883183267663,Definitive Screening Design,809,17
X3 (non-informative),X3,0.11234476640195173,Definitive Screening Design,809,17
Random Normal,Random Normal,0.23784031725220242,Definitive Screening Design,809,17
X1,X1,0.039993029489075245,Definitive Screening Design,810,17
X2,X2,0.6125352933273216,Definitive Screening Design,810,17
X3 (non-informative),X3,0.09219993395433164,Definitive Screening Design,810,17
Random Normal,Random Normal,0.25527174322927143,Definitive Screening Design,810,17
X1,X1,0.07018185995599917,Definitive Screening Design,811,17
X2,X2,0.611541918996598,Definitive Screening Design,811,17
X3 (non-informative),X3,0.12023911935936915,Definitive Screening Design,811,17
Random Normal,Random Normal,0.1980371016880337,Definitive Screening Design,811,17
X1,X1,0.05184274470380991,Definitive Screening Design,812,17
X2,X2,0.611557554509838,Definitive Screening Design,812,17
X3 (non-informative),X3,0.1008696965181675,Definitive Screening Design,812,17
Random Normal,Random Normal,0.23573000426818452,Definitive Screening Design,812,17
X1,X1,0.07332273096024412,Definitive Screening Design,813,17
X2,X2,0.6159577465712035,Definitive Screening Design,813,17
X3 (non-informative),X3,0.1595393671031999,Definitive Screening Design,813,17
Random Normal,Random Normal,0.1511801553653525,Definitive Screening Design,813,17
X1,X1,0.0461176070703196,Definitive Screening Design,814,17
X2,X2,0.5466617548131233,Definitive Screening Design,814,17
X3 (non-informative),X3,0.0770590372895062,Definitive Screening Design,814,17
Random Normal,Random Normal,0.330161600827051,Definitive Screening Design,814,17
X1,X1,0.045957525195389745,Definitive Screening Design,815,17
X2,X2,0.604743531213947,Definitive Screening Design,815,17
X3 (non-informative),X3,0.08979221805947693,Definitive Screening Design,815,17
Random Normal,Random Normal,0.2595067255311864,Definitive Screening Design,815,17
X1,X1,0.07745903850538353,Definitive Screening Design,816,17
X2,X2,0.6331369765421496,Definitive Screening Design,816,17
X3 (non-informative),X3,0.18127455591679673,Definitive Screening Design,816,17
Random Normal,Random Normal,0.10812942903567,Definitive Screening Design,816,17
X1,X1,0.07869638558188846,Definitive Screening Design,817,17
X2,X2,0.6352845494176806,Definitive Screening Design,817,17
X3 (non-informative),X3,0.07672411577096618,Definitive Screening Design,817,17
Random Normal,Random Normal,0.20929494922946484,Definitive Screening Design,817,17
X1,X1,0.07259161014244453,Definitive Screening Design,818,17
X2,X2,0.6486837702559858,Definitive Screening Design,818,17
X3 (non-informative),X3,0.14471053705997974,Definitive Screening Design,818,17
Random Normal,Random Normal,0.1340140825415899,Definitive Screening Design,818,17
X1,X1,0.07944515221412723,Definitive Screening Design,819,17
X2,X2,0.6616815765121653,Definitive Screening Design,819,17
X3 (non-informative),X3,0.115629449606764,Definitive Screening Design,819,17
Random Normal,Random Normal,0.1432438216669434,Definitive Screening Design,819,17
X1,X1,0.08232005843413835,Definitive Screening Design,820,17
X2,X2,0.6172889138407097,Definitive Screening Design,820,17
X3 (non-informative),X3,0.10696239406521398,Definitive Screening Design,820,17
Random Normal,Random Normal,0.19342863365993773,Definitive Screening Design,820,17
X1,X1,0.08119279862464605,Definitive Screening Design,821,17
X2,X2,0.6493840369281136,Definitive Screening Design,821,17
X3 (non-informative),X3,0.16359549527055325,Definitive Screening Design,821,17
Random Normal,Random Normal,0.10582766917668714,Definitive Screening Design,821,17
X1,X1,0.06734311563840933,Definitive Screening Design,822,17
X2,X2,0.6412026003750402,Definitive Screening Design,822,17
X3 (non-informative),X3,0.12338361982629333,Definitive Screening Design,822,17
Random Normal,Random Normal,0.16807066416025726,Definitive Screening Design,822,17
X1,X1,0.07491283775447936,Definitive Screening Design,823,17
X2,X2,0.684416643861444,Definitive Screening Design,823,17
X3 (non-informative),X3,0.14153392915603114,Definitive Screening Design,823,17
Random Normal,Random Normal,0.09913658922804557,Definitive Screening Design,823,17
X1,X1,0.03984676894913477,Definitive Screening Design,824,17
X2,X2,0.47166614830413434,Definitive Screening Design,824,17
X3 (non-informative),X3,0.08355090449668226,Definitive Screening Design,824,17
Random Normal,Random Normal,0.40493617825004863,Definitive Screening Design,824,17
X1,X1,0.11909583212747181,Definitive Screening Design,825,17
X2,X2,0.5843961839738409,Definitive Screening Design,825,17
X3 (non-informative),X3,0.11316481228225023,Definitive Screening Design,825,17
Random Normal,Random Normal,0.18334317161643712,Definitive Screening Design,825,17
X1,X1,0.08495945791552159,Definitive Screening Design,826,17
X2,X2,0.6364998913735682,Definitive Screening Design,826,17
X3 (non-informative),X3,0.13478593460171917,Definitive Screening Design,826,17
Random Normal,Random Normal,0.1437547161091911,Definitive Screening Design,826,17
X1,X1,0.0751645866247511,Definitive Screening Design,827,17
X2,X2,0.6654693093459468,Definitive Screening Design,827,17
X3 (non-informative),X3,0.13753333785148797,Definitive Screening Design,827,17
Random Normal,Random Normal,0.12183276617781412,Definitive Screening Design,827,17
X1,X1,0.06951595731771887,Definitive Screening Design,828,17
X2,X2,0.660554496509352,Definitive Screening Design,828,17
X3 (non-informative),X3,0.09507921031377378,Definitive Screening Design,828,17
Random Normal,Random Normal,0.17485033585915535,Definitive Screening Design,828,17
X1,X1,0.05483700490968399,Definitive Screening Design,829,17
X2,X2,0.741970207213721,Definitive Screening Design,829,17
X3 (non-informative),X3,0.11575621281349327,Definitive Screening Design,829,17
Random Normal,Random Normal,0.08743657506310192,Definitive Screening Design,829,17
X1,X1,0.042865744540117934,Definitive Screening Design,830,17
X2,X2,0.6876529366775359,Definitive Screening Design,830,17
X3 (non-informative),X3,0.07538981840335543,Definitive Screening Design,830,17
Random Normal,Random Normal,0.1940915003789906,Definitive Screening Design,830,17
X1,X1,0.07016033647540965,Definitive Screening Design,831,17
X2,X2,0.5971093755887226,Definitive Screening Design,831,17
X3 (non-informative),X3,0.19147705072677784,Definitive Screening Design,831,17
Random Normal,Random Normal,0.1412532372090899,Definitive Screening Design,831,17
X1,X1,0.0544180479738596,Definitive Screening Design,832,17
X2,X2,0.5280279481072581,Definitive Screening Design,832,17
X3 (non-informative),X3,0.11994194409762687,Definitive Screening Design,832,17
Random Normal,Random Normal,0.29761205982125555,Definitive Screening Design,832,17
X1,X1,0.0537943357603702,Definitive Screening Design,833,17
X2,X2,0.6060718979330658,Definitive Screening Design,833,17
X3 (non-informative),X3,0.08989989061315419,Definitive Screening Design,833,17
Random Normal,Random Normal,0.2502338756934097,Definitive Screening Design,833,17
X1,X1,0.05574533928693113,Definitive Screening Design,834,17
X2,X2,0.6280020337599183,Definitive Screening Design,834,17
X3 (non-informative),X3,0.11575977220716012,Definitive Screening Design,834,17
Random Normal,Random Normal,0.20049285474599063,Definitive Screening Design,834,17
X1,X1,0.03162760196398756,Definitive Screening Design,835,17
X2,X2,0.63200300674407,Definitive Screening Design,835,17
X3 (non-informative),X3,0.0779321101507539,Definitive Screening Design,835,17
Random Normal,Random Normal,0.25843728114118864,Definitive Screening Design,835,17
X1,X1,0.06559536296713507,Definitive Screening Design,836,17
X2,X2,0.632668820334741,Definitive Screening Design,836,17
X3 (non-informative),X3,0.12214518149490451,Definitive Screening Design,836,17
Random Normal,Random Normal,0.17959063520321927,Definitive Screening Design,836,17
X1,X1,0.08475139806124427,Definitive Screening Design,837,17
X2,X2,0.6112614141393243,Definitive Screening Design,837,17
X3 (non-informative),X3,0.12829815385757917,Definitive Screening Design,837,17
Random Normal,Random Normal,0.1756890339418522,Definitive Screening Design,837,17
X1,X1,0.07125969267080745,Definitive Screening Design,838,17
X2,X2,0.6657826888558361,Definitive Screening Design,838,17
X3 (non-informative),X3,0.12856029034680538,Definitive Screening Design,838,17
Random Normal,Random Normal,0.13439732812655095,Definitive Screening Design,838,17
X1,X1,0.0427517520678293,Definitive Screening Design,839,17
X2,X2,0.5514561420198015,Definitive Screening Design,839,17
X3 (non-informative),X3,0.07181744005736292,Definitive Screening Design,839,17
Random Normal,Random Normal,0.3339746658550063,Definitive Screening Design,839,17
X1,X1,0.08554964068562432,Definitive Screening Design,840,17
X2,X2,0.6549993074531325,Definitive Screening Design,840,17
X3 (non-informative),X3,0.15385691190806364,Definitive Screening Design,840,17
Random Normal,Random Normal,0.10559413995317936,Definitive Screening Design,840,17
X1,X1,0.0896099425232564,Definitive Screening Design,841,17
X2,X2,0.7046051927997358,Definitive Screening Design,841,17
X3 (non-informative),X3,0.13383937174510246,Definitive Screening Design,841,17
Random Normal,Random Normal,0.07194549293190529,Definitive Screening Design,841,17
X1,X1,0.08546319830329753,Definitive Screening Design,842,17
X2,X2,0.6613274149909935,Definitive Screening Design,842,17
X3 (non-informative),X3,0.14274128987139642,Definitive Screening Design,842,17
Random Normal,Random Normal,0.11046809683431279,Definitive Screening Design,842,17
X1,X1,0.06388810276195085,Definitive Screening Design,843,17
X2,X2,0.7400460205261005,Definitive Screening Design,843,17
X3 (non-informative),X3,0.1164794624017615,Definitive Screening Design,843,17
Random Normal,Random Normal,0.07958641431018716,Definitive Screening Design,843,17
X1,X1,0.06547715007986764,Definitive Screening Design,844,17
X2,X2,0.6543976538981808,Definitive Screening Design,844,17
X3 (non-informative),X3,0.154614847418881,Definitive Screening Design,844,17
Random Normal,Random Normal,0.1255103486030704,Definitive Screening Design,844,17
X1,X1,0.07659493835744104,Definitive Screening Design,845,17
X2,X2,0.6390313936633432,Definitive Screening Design,845,17
X3 (non-informative),X3,0.16318136387872445,Definitive Screening Design,845,17
Random Normal,Random Normal,0.12119230410049128,Definitive Screening Design,845,17
X1,X1,0.048891847167379,Definitive Screening Design,846,17
X2,X2,0.6515820161373558,Definitive Screening Design,846,17
X3 (non-informative),X3,0.11506203549489613,Definitive Screening Design,846,17
Random Normal,Random Normal,0.18446410120036916,Definitive Screening Design,846,17
X1,X1,0.06934273332107047,Definitive Screening Design,847,17
X2,X2,0.6062186073665364,Definitive Screening Design,847,17
X3 (non-informative),X3,0.14332343063794944,Definitive Screening Design,847,17
Random Normal,Random Normal,0.18111522867444363,Definitive Screening Design,847,17
X1,X1,0.05916297023915151,Definitive Screening Design,848,17
X2,X2,0.6487293129624306,Definitive Screening Design,848,17
X3 (non-informative),X3,0.1554272513439419,Definitive Screening Design,848,17
Random Normal,Random Normal,0.1366804654544761,Definitive Screening Design,848,17
X1,X1,0.1071153127489881,Definitive Screening Design,849,17
X2,X2,0.639737659324805,Definitive Screening Design,849,17
X3 (non-informative),X3,0.15164194301824463,Definitive Screening Design,849,17
Random Normal,Random Normal,0.10150508490796217,Definitive Screening Design,849,17
X1,X1,0.026078853605681036,Definitive Screening Design,850,17
X2,X2,0.6755271900649417,Definitive Screening Design,850,17
X3 (non-informative),X3,0.06569735290631452,Definitive Screening Design,850,17
Random Normal,Random Normal,0.23269660342306278,Definitive Screening Design,850,17
X1,X1,0.08395933463136815,Definitive Screening Design,851,17
X2,X2,0.6762437892562262,Definitive Screening Design,851,17
X3 (non-informative),X3,0.13388352417986818,Definitive Screening Design,851,17
Random Normal,Random Normal,0.10591335193253743,Definitive Screening Design,851,17
X1,X1,0.05319149385860795,Definitive Screening Design,852,17
X2,X2,0.5666797994887824,Definitive Screening Design,852,17
X3 (non-informative),X3,0.06096260258290048,Definitive Screening Design,852,17
Random Normal,Random Normal,0.31916610406970924,Definitive Screening Design,852,17
X1,X1,0.0362812092026371,Definitive Screening Design,853,17
X2,X2,0.4634425260167672,Definitive Screening Design,853,17
X3 (non-informative),X3,0.0773151152515799,Definitive Screening Design,853,17
Random Normal,Random Normal,0.4229611495290158,Definitive Screening Design,853,17
X1,X1,0.05362362002881649,Definitive Screening Design,854,17
X2,X2,0.6229746054464232,Definitive Screening Design,854,17
X3 (non-informative),X3,0.08562351292762187,Definitive Screening Design,854,17
Random Normal,Random Normal,0.23777826159713847,Definitive Screening Design,854,17
X1,X1,0.10000826749475884,Definitive Screening Design,855,17
X2,X2,0.6239737931646934,Definitive Screening Design,855,17
X3 (non-informative),X3,0.11919927574321988,Definitive Screening Design,855,17
Random Normal,Random Normal,0.15681866359732785,Definitive Screening Design,855,17
X1,X1,0.06555480171826211,Definitive Screening Design,856,17
X2,X2,0.6242293691945724,Definitive Screening Design,856,17
X3 (non-informative),X3,0.11878174663661716,Definitive Screening Design,856,17
Random Normal,Random Normal,0.19143408245054827,Definitive Screening Design,856,17
X1,X1,0.07234431497849149,Definitive Screening Design,857,17
X2,X2,0.6483358106919902,Definitive Screening Design,857,17
X3 (non-informative),X3,0.1412631156311587,Definitive Screening Design,857,17
Random Normal,Random Normal,0.1380567586983596,Definitive Screening Design,857,17
X1,X1,0.043696097139044605,Definitive Screening Design,858,17
X2,X2,0.5924629428337149,Definitive Screening Design,858,17
X3 (non-informative),X3,0.11693872299530716,Definitive Screening Design,858,17
Random Normal,Random Normal,0.24690223703193345,Definitive Screening Design,858,17
X1,X1,0.046315909224505104,Definitive Screening Design,859,17
X2,X2,0.5090836912236283,Definitive Screening Design,859,17
X3 (non-informative),X3,0.09047143034342324,Definitive Screening Design,859,17
Random Normal,Random Normal,0.3541289692084434,Definitive Screening Design,859,17
X1,X1,0.05782247273485308,Definitive Screening Design,860,17
X2,X2,0.5804806858447683,Definitive Screening Design,860,17
X3 (non-informative),X3,0.1016149641830806,Definitive Screening Design,860,17
Random Normal,Random Normal,0.2600818772372979,Definitive Screening Design,860,17
X1,X1,0.0806228640769181,Definitive Screening Design,861,17
X2,X2,0.6379721396595356,Definitive Screening Design,861,17
X3 (non-informative),X3,0.08220662810420641,Definitive Screening Design,861,17
Random Normal,Random Normal,0.19919836815933992,Definitive Screening Design,861,17
X1,X1,0.054315571727996545,Definitive Screening Design,862,17
X2,X2,0.6736347683464651,Definitive Screening Design,862,17
X3 (non-informative),X3,0.12631391364927758,Definitive Screening Design,862,17
Random Normal,Random Normal,0.14573574627626074,Definitive Screening Design,862,17
X1,X1,0.047894210099097126,Definitive Screening Design,863,17
X2,X2,0.6576345265221833,Definitive Screening Design,863,17
X3 (non-informative),X3,0.07084965952289608,Definitive Screening Design,863,17
Random Normal,Random Normal,0.22362160385582341,Definitive Screening Design,863,17
X1,X1,0.0665353849150585,Definitive Screening Design,864,17
X2,X2,0.5324908382086917,Definitive Screening Design,864,17
X3 (non-informative),X3,0.13600921705274457,Definitive Screening Design,864,17
Random Normal,Random Normal,0.26496455982350514,Definitive Screening Design,864,17
X1,X1,0.07674606515685346,Definitive Screening Design,865,17
X2,X2,0.5996350768678822,Definitive Screening Design,865,17
X3 (non-informative),X3,0.06555558060296997,Definitive Screening Design,865,17
Random Normal,Random Normal,0.2580632773722945,Definitive Screening Design,865,17
X1,X1,0.06522953883774996,Definitive Screening Design,866,17
X2,X2,0.6534207453987612,Definitive Screening Design,866,17
X3 (non-informative),X3,0.11940743982034943,Definitive Screening Design,866,17
Random Normal,Random Normal,0.16194227594313948,Definitive Screening Design,866,17
X1,X1,0.06722537507845566,Definitive Screening Design,867,17
X2,X2,0.6511240377461415,Definitive Screening Design,867,17
X3 (non-informative),X3,0.11177502413775418,Definitive Screening Design,867,17
Random Normal,Random Normal,0.16987556303764864,Definitive Screening Design,867,17
X1,X1,0.06864460370162327,Definitive Screening Design,868,17
X2,X2,0.5695725352687632,Definitive Screening Design,868,17
X3 (non-informative),X3,0.08412937554131686,Definitive Screening Design,868,17
Random Normal,Random Normal,0.2776534854882966,Definitive Screening Design,868,17
X1,X1,0.03890754844896249,Definitive Screening Design,869,17
X2,X2,0.5872816888079805,Definitive Screening Design,869,17
X3 (non-informative),X3,0.10727690678835233,Definitive Screening Design,869,17
Random Normal,Random Normal,0.26653385595470463,Definitive Screening Design,869,17
X1,X1,0.06852056895793333,Definitive Screening Design,870,17
X2,X2,0.5904610046223286,Definitive Screening Design,870,17
X3 (non-informative),X3,0.13377347757232938,Definitive Screening Design,870,17
Random Normal,Random Normal,0.20724494884740863,Definitive Screening Design,870,17
X1,X1,0.035453566665213224,Definitive Screening Design,871,17
X2,X2,0.6700522497840083,Definitive Screening Design,871,17
X3 (non-informative),X3,0.0722859873778484,Definitive Screening Design,871,17
Random Normal,Random Normal,0.2222081961729301,Definitive Screening Design,871,17
X1,X1,0.07492166110920384,Definitive Screening Design,872,17
X2,X2,0.5873716525722216,Definitive Screening Design,872,17
X3 (non-informative),X3,0.14271496015958543,Definitive Screening Design,872,17
Random Normal,Random Normal,0.1949917261589891,Definitive Screening Design,872,17
X1,X1,0.05091552755935007,Definitive Screening Design,873,17
X2,X2,0.6241835544713902,Definitive Screening Design,873,17
X3 (non-informative),X3,0.09468147759864899,Definitive Screening Design,873,17
Random Normal,Random Normal,0.23021944037061093,Definitive Screening Design,873,17
X1,X1,0.08670047948657655,Definitive Screening Design,874,17
X2,X2,0.6122101637164666,Definitive Screening Design,874,17
X3 (non-informative),X3,0.1514874818319029,Definitive Screening Design,874,17
Random Normal,Random Normal,0.14960187496505392,Definitive Screening Design,874,17
X1,X1,0.058236319538063255,Definitive Screening Design,875,17
X2,X2,0.6959463918773362,Definitive Screening Design,875,17
X3 (non-informative),X3,0.1242002455786829,Definitive Screening Design,875,17
Random Normal,Random Normal,0.1216170430059177,Definitive Screening Design,875,17
X1,X1,0.09878596605240013,Definitive Screening Design,876,17
X2,X2,0.6235764606450154,Definitive Screening Design,876,17
X3 (non-informative),X3,0.09068330568358367,Definitive Screening Design,876,17
Random Normal,Random Normal,0.18695426761900075,Definitive Screening Design,876,17
X1,X1,0.06040229537623573,Definitive Screening Design,877,17
X2,X2,0.6365074663772647,Definitive Screening Design,877,17
X3 (non-informative),X3,0.16074975864577543,Definitive Screening Design,877,17
Random Normal,Random Normal,0.1423404796007243,Definitive Screening Design,877,17
X1,X1,0.0710634699183192,Definitive Screening Design,878,17
X2,X2,0.6467161423788831,Definitive Screening Design,878,17
X3 (non-informative),X3,0.12488924300518371,Definitive Screening Design,878,17
Random Normal,Random Normal,0.15733114469761397,Definitive Screening Design,878,17
X1,X1,0.09361788071492835,Definitive Screening Design,879,17
X2,X2,0.6425414731467012,Definitive Screening Design,879,17
X3 (non-informative),X3,0.15192370754812534,Definitive Screening Design,879,17
Random Normal,Random Normal,0.11191693859024507,Definitive Screening Design,879,17
X1,X1,0.04899361684197,Definitive Screening Design,880,17
X2,X2,0.6212654935914595,Definitive Screening Design,880,17
X3 (non-informative),X3,0.08291506110581937,Definitive Screening Design,880,17
Random Normal,Random Normal,0.24682582846075105,Definitive Screening Design,880,17
X1,X1,0.07000735251525651,Definitive Screening Design,881,17
X2,X2,0.6510949922980993,Definitive Screening Design,881,17
X3 (non-informative),X3,0.15662041699618806,Definitive Screening Design,881,17
Random Normal,Random Normal,0.12227723819045606,Definitive Screening Design,881,17
X1,X1,0.07229267059654546,Definitive Screening Design,882,17
X2,X2,0.7014654267442865,Definitive Screening Design,882,17
X3 (non-informative),X3,0.14298828516442738,Definitive Screening Design,882,17
Random Normal,Random Normal,0.08325361749474075,Definitive Screening Design,882,17
X1,X1,0.07228997559172681,Definitive Screening Design,883,17
X2,X2,0.6231276770363097,Definitive Screening Design,883,17
X3 (non-informative),X3,0.1059752104753031,Definitive Screening Design,883,17
Random Normal,Random Normal,0.19860713689666046,Definitive Screening Design,883,17
X1,X1,0.068444391085023,Definitive Screening Design,884,17
X2,X2,0.6262046808884062,Definitive Screening Design,884,17
X3 (non-informative),X3,0.09815698100432359,Definitive Screening Design,884,17
Random Normal,Random Normal,0.20719394702224725,Definitive Screening Design,884,17
X1,X1,0.06286840745157221,Definitive Screening Design,885,17
X2,X2,0.615091899056162,Definitive Screening Design,885,17
X3 (non-informative),X3,0.09441021215400208,Definitive Screening Design,885,17
Random Normal,Random Normal,0.22762948133826374,Definitive Screening Design,885,17
X1,X1,0.061654354078099494,Definitive Screening Design,886,17
X2,X2,0.5767208694110242,Definitive Screening Design,886,17
X3 (non-informative),X3,0.07055656970808794,Definitive Screening Design,886,17
Random Normal,Random Normal,0.2910682068027883,Definitive Screening Design,886,17
X1,X1,0.16598200394952148,Definitive Screening Design,887,17
X2,X2,0.6251957365267984,Definitive Screening Design,887,17
X3 (non-informative),X3,0.10327416827098361,Definitive Screening Design,887,17
Random Normal,Random Normal,0.10554809125269661,Definitive Screening Design,887,17
X1,X1,0.06737574350386777,Definitive Screening Design,888,17
X2,X2,0.7212781215580913,Definitive Screening Design,888,17
X3 (non-informative),X3,0.11409514305031766,Definitive Screening Design,888,17
Random Normal,Random Normal,0.0972509918877232,Definitive Screening Design,888,17
X1,X1,0.029976783156101604,Definitive Screening Design,889,17
X2,X2,0.6948812867743965,Definitive Screening Design,889,17
X3 (non-informative),X3,0.10421170078541683,Definitive Screening Design,889,17
Random Normal,Random Normal,0.17093022928408502,Definitive Screening Design,889,17
X1,X1,0.07038985413300641,Definitive Screening Design,890,17
X2,X2,0.5855584214695241,Definitive Screening Design,890,17
X3 (non-informative),X3,0.13108738806619932,Definitive Screening Design,890,17
Random Normal,Random Normal,0.21296433633127027,Definitive Screening Design,890,17
X1,X1,0.06885947201739143,Definitive Screening Design,891,17
X2,X2,0.6281090806921055,Definitive Screening Design,891,17
X3 (non-informative),X3,0.10474141299473093,Definitive Screening Design,891,17
Random Normal,Random Normal,0.19829003429577222,Definitive Screening Design,891,17
X1,X1,0.09546454589726026,Definitive Screening Design,892,17
X2,X2,0.6129935855227157,Definitive Screening Design,892,17
X3 (non-informative),X3,0.14780573048350928,Definitive Screening Design,892,17
Random Normal,Random Normal,0.14373613809651486,Definitive Screening Design,892,17
X1,X1,0.05407657382578051,Definitive Screening Design,893,17
X2,X2,0.6201927451771447,Definitive Screening Design,893,17
X3 (non-informative),X3,0.10414739302885119,Definitive Screening Design,893,17
Random Normal,Random Normal,0.22158328796822346,Definitive Screening Design,893,17
X1,X1,0.07852188747809977,Definitive Screening Design,894,17
X2,X2,0.6141785440047152,Definitive Screening Design,894,17
X3 (non-informative),X3,0.1522449298869862,Definitive Screening Design,894,17
Random Normal,Random Normal,0.1550546386301989,Definitive Screening Design,894,17
X1,X1,0.07846716814320653,Definitive Screening Design,895,17
X2,X2,0.6309798311401973,Definitive Screening Design,895,17
X3 (non-informative),X3,0.11921166078244509,Definitive Screening Design,895,17
Random Normal,Random Normal,0.17134133993415113,Definitive Screening Design,895,17
X1,X1,0.05371237643939231,Definitive Screening Design,896,17
X2,X2,0.6424862765301838,Definitive Screening Design,896,17
X3 (non-informative),X3,0.11219771151920638,Definitive Screening Design,896,17
Random Normal,Random Normal,0.19160363551121748,Definitive Screening Design,896,17
X1,X1,0.0661254368503895,Definitive Screening Design,897,17
X2,X2,0.632677487984007,Definitive Screening Design,897,17
X3 (non-informative),X3,0.1257942339142578,Definitive Screening Design,897,17
Random Normal,Random Normal,0.1754028412513456,Definitive Screening Design,897,17
X1,X1,0.06921093437230298,Definitive Screening Design,898,17
X2,X2,0.6878827802769018,Definitive Screening Design,898,17
X3 (non-informative),X3,0.08332228471891058,Definitive Screening Design,898,17
Random Normal,Random Normal,0.15958400063188485,Definitive Screening Design,898,17
X1,X1,0.08516381029829893,Definitive Screening Design,899,17
X2,X2,0.6355242144421501,Definitive Screening Design,899,17
X3 (non-informative),X3,0.1561133607070745,Definitive Screening Design,899,17
Random Normal,Random Normal,0.12319861455247635,Definitive Screening Design,899,17
X1,X1,0.055065475022237596,Definitive Screening Design,900,17
X2,X2,0.5086092361726189,Definitive Screening Design,900,17
X3 (non-informative),X3,0.057726360551119626,Definitive Screening Design,900,17
Random Normal,Random Normal,0.3785989282540239,Definitive Screening Design,900,17
X1,X1,0.04964959535185916,Definitive Screening Design,901,17
X2,X2,0.6542959567472905,Definitive Screening Design,901,17
X3 (non-informative),X3,0.08830670299582057,Definitive Screening Design,901,17
Random Normal,Random Normal,0.20774774490502979,Definitive Screening Design,901,17
X1,X1,0.06967330757633576,Definitive Screening Design,902,17
X2,X2,0.6921811621143336,Definitive Screening Design,902,17
X3 (non-informative),X3,0.11390100603368992,Definitive Screening Design,902,17
Random Normal,Random Normal,0.12424452427564087,Definitive Screening Design,902,17
X1,X1,0.0582843991104941,Definitive Screening Design,903,17
X2,X2,0.6748657439303285,Definitive Screening Design,903,17
X3 (non-informative),X3,0.09292725561656229,Definitive Screening Design,903,17
Random Normal,Random Normal,0.17392260134261514,Definitive Screening Design,903,17
X1,X1,0.07494831287531463,Definitive Screening Design,904,17
X2,X2,0.6654145907612579,Definitive Screening Design,904,17
X3 (non-informative),X3,0.12094539412843879,Definitive Screening Design,904,17
Random Normal,Random Normal,0.13869170223498858,Definitive Screening Design,904,17
X1,X1,0.09801339013914943,Definitive Screening Design,905,17
X2,X2,0.6011756541631262,Definitive Screening Design,905,17
X3 (non-informative),X3,0.1470491212787287,Definitive Screening Design,905,17
Random Normal,Random Normal,0.15376183441899563,Definitive Screening Design,905,17
X1,X1,0.08498932623455144,Definitive Screening Design,906,17
X2,X2,0.6050384164614536,Definitive Screening Design,906,17
X3 (non-informative),X3,0.1503616272767793,Definitive Screening Design,906,17
Random Normal,Random Normal,0.15961063002721557,Definitive Screening Design,906,17
X1,X1,0.0676011584956494,Definitive Screening Design,907,17
X2,X2,0.5518664339883611,Definitive Screening Design,907,17
X3 (non-informative),X3,0.1309649709207341,Definitive Screening Design,907,17
Random Normal,Random Normal,0.2495674365952554,Definitive Screening Design,907,17
X1,X1,0.044387618273830205,Definitive Screening Design,908,17
X2,X2,0.5420900605606652,Definitive Screening Design,908,17
X3 (non-informative),X3,0.08013394073604067,Definitive Screening Design,908,17
Random Normal,Random Normal,0.33338838042946384,Definitive Screening Design,908,17
X1,X1,0.06822783148408182,Definitive Screening Design,909,17
X2,X2,0.5816640923441304,Definitive Screening Design,909,17
X3 (non-informative),X3,0.09673319302572525,Definitive Screening Design,909,17
Random Normal,Random Normal,0.25337488314606255,Definitive Screening Design,909,17
X1,X1,0.060819454611800924,Definitive Screening Design,910,17
