Factor,feature,Portion,Design,n_simulation,N
Random Normal,Random Normal,0.20290987097215077,Definitive Screening Design,22,17
X1,X1,0.04525117973646203,Definitive Screening Design,23,17
X2,X2,0.5624200212895312,Definitive Screening Design,23,17
X3 (non-informative),X3,0.08162074339935008,Definitive Screening Design,23,17
Random Normal,Random Normal,0.3107080555746567,Definitive Screening Design,23,17
X1,X1,0.054722962179201785,Definitive Screening Design,24,17
X2,X2,0.6478627768478822,Definitive Screening Design,24,17
X3 (non-informative),X3,0.12531597107994552,Definitive Screening Design,24,17
Random Normal,Random Normal,0.1720982898929706,Definitive Screening Design,24,17
X1,X1,0.037096624984949485,Definitive Screening Design,25,17
X2,X2,0.6255431788339454,Definitive Screening Design,25,17
X3 (non-informative),X3,0.08982975365997004,Definitive Screening Design,25,17
Random Normal,Random Normal,0.24753044252113512,Definitive Screening Design,25,17
X1,X1,0.06212307839617925,Definitive Screening Design,26,17
X2,X2,0.6534637844299618,Definitive Screening Design,26,17
X3 (non-informative),X3,0.1722297094481521,Definitive Screening Design,26,17
Random Normal,Random Normal,0.1121834277257069,Definitive Screening Design,26,17
X1,X1,0.07537444044548632,Definitive Screening Design,27,17
X2,X2,0.626346877169055,Definitive Screening Design,27,17
X3 (non-informative),X3,0.1081553222912316,Definitive Screening Design,27,17
Random Normal,Random Normal,0.1901233600942271,Definitive Screening Design,27,17
X1,X1,0.06164987962663456,Definitive Screening Design,28,17
X2,X2,0.4680067604765624,Definitive Screening Design,28,17
X3 (non-informative),X3,0.12464082797068039,Definitive Screening Design,28,17
Random Normal,Random Normal,0.34570253192612266,Definitive Screening Design,28,17
X1,X1,0.036011174330373714,Definitive Screening Design,29,17
X2,X2,0.6284488734187564,Definitive Screening Design,29,17
X3 (non-informative),X3,0.16375067320511655,Definitive Screening Design,29,17
Random Normal,Random Normal,0.17178927904575322,Definitive Screening Design,29,17
X1,X1,0.04851140291194207,Definitive Screening Design,30,17
X2,X2,0.6733475873342468,Definitive Screening Design,30,17
X3 (non-informative),X3,0.11579179022475226,Definitive Screening Design,30,17
Random Normal,Random Normal,0.16234921952905887,Definitive Screening Design,30,17
X1,X1,0.06815930836127829,Definitive Screening Design,31,17
X2,X2,0.6231846501136723,Definitive Screening Design,31,17
X3 (non-informative),X3,0.09337688120685107,Definitive Screening Design,31,17
Random Normal,Random Normal,0.2152791603181983,Definitive Screening Design,31,17
X1,X1,0.07795540104256041,Definitive Screening Design,32,17
X2,X2,0.6329519278339775,Definitive Screening Design,32,17
X3 (non-informative),X3,0.13321174936005642,Definitive Screening Design,32,17
Random Normal,Random Normal,0.1558809217634057,Definitive Screening Design,32,17
X1,X1,0.08252312943707271,Definitive Screening Design,33,17
X2,X2,0.639915465382946,Definitive Screening Design,33,17
X3 (non-informative),X3,0.11467544136103743,Definitive Screening Design,33,17
Random Normal,Random Normal,0.16288596381894394,Definitive Screening Design,33,17
X1,X1,0.06970286629555367,Definitive Screening Design,34,17
X2,X2,0.6622394164123658,Definitive Screening Design,34,17
X3 (non-informative),X3,0.11212293831542526,Definitive Screening Design,34,17
Random Normal,Random Normal,0.15593477897665525,Definitive Screening Design,34,17
X1,X1,0.08303565906685235,Definitive Screening Design,35,17
X2,X2,0.5702087844080155,Definitive Screening Design,35,17
X3 (non-informative),X3,0.16601846241673346,Definitive Screening Design,35,17
Random Normal,Random Normal,0.18073709410839864,Definitive Screening Design,35,17
X1,X1,0.05614853265619902,Definitive Screening Design,36,17
X2,X2,0.6731345874836736,Definitive Screening Design,36,17
X3 (non-informative),X3,0.12618178303367705,Definitive Screening Design,36,17
Random Normal,Random Normal,0.14453509682645044,Definitive Screening Design,36,17
X1,X1,0.03823743974539711,Definitive Screening Design,37,17
X2,X2,0.5393765591137006,Definitive Screening Design,37,17
X3 (non-informative),X3,0.09600533887385151,Definitive Screening Design,37,17
Random Normal,Random Normal,0.32638066226705076,Definitive Screening Design,37,17
X1,X1,0.06716096233751094,Definitive Screening Design,38,17
